title,company,location,contract,work_type,posted_relative,raw_content,detail_link
Magasinier vendeur / Magasinière vendeuse,COMPAGNIE DE REPReSENTATION ET DE DISTRI,Tunis,CDI,Temps-plein,Il y a 1 heure,"Référence : 1120/2025/2577 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : COMPAGNIE DE REPReSENTATION ET DE DISTRI Adresse : 57 RUE 8603 CHARGUIA1 Région : TUNIS Code postal : 2035 Téléphone : 21357032 Activité de l'entreprise : INTERMEDIAIRES DU COMMERCE EN PRODUITS DIVERS Domaine : Transport, Logistique, Manutention Niveau : BAC ET PLUS SANS DIPLOME Profession à exercer : Lieu de travail : 57 RUE 8603 CHARGUIA1 Nombre de postes proposés : 1 Bureau de l'emploi : CHARGUIA Région : TUNIS Tel : 71802027 Fax : 71772248 Adresse : 18 RUE DE L'ENEGIE NUCLAIRE CHARGUIA 1 2035 E-mail : COMPAGNIE DE REPReSENTATION ET DE DISTRI",https://www.optioncarriere.tn/jobad/tn087658fa7c9be34e1febbf220b7283ba
Agent / Agente comptable,TUNFRET,Sousse,CDI,Temps-plein,Il y a 1 heure,"Référence : 5130/2025/2734 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : TUNFRET Adresse : AV TAIEB GHACHEM BAB JEDID 5ETG Région : SOUSSE Code postal : 4000 Téléphone : 73227239 E-mail : INFO@TUNFRET.COM Activité de l'entreprise : SERVICES AUXILIAIRES DES TRANSPORTS AERIENS Domaine : Comptabilité, Audit, conseil Diplôme d'étude : LICENCE / Spécialité d'étude : COMPTABILITE Profession à exercer : Lieu de travail : AV TAIEB GHACHEM BAB JEDID 5ETG Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAM SOUSSE Région : SOUSSE Tel : 73361033 Fax : 73361066 Adresse : RUE ABOUJIHED - HAMMAM-SOUSSE 4011 E-mail : TUNFRET",https://www.optioncarriere.tn/jobad/tn1cdc70a67c2e67ddfefe4e0e1c843cdd
Magasinier / Magasinière,SOCIETE NAVETTE,Tunis,CDI,Temps-plein,Il y a 1 heure,"Référence : 1120/2025/2592 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : SOCIETE NAVETTE Adresse : 8 RUE 8601 CHARGUIA Région : TUNIS Code postal : 1080 Téléphone : 29700602 E-mail : CLIM@AREMGROUP.COM Activité de l'entreprise : AUTRES TRAVAUX D'INSTALLATION Domaine : Transport, Logistique, Manutention Niveau : BAC ET PLUS SANS DIPLOME Profession à exercer : Lieu de travail : 8 RUE 8601 CHARGUIA Expérience souhaitée : 2 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : CHARGUIA Région : TUNIS Tel : 71802027 Fax : 71772248 Adresse : 18 RUE DE L'ENEGIE NUCLAIRE CHARGUIA 1 2035 E-mail : SOCIETE NAVETTE",https://www.optioncarriere.tn/jobad/tn5f6ccc6960686f8ba6c0b08eec3b268d
Manoeuvre manutentionnaire,ComSolutions,Tunis,CDI,Temps-plein,Il y a 2 heures,"Référence : 1120/2025/2580 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : COMSOLUTIONS Adresse : 15 RUE DE LA MECANIQUE EX 8602 CHARGUIA Région : TUNIS Code postal : 2053 Téléphone : 58330247 E-mail : MB@DUOMAGHREB.COM Activité de l'entreprise : AUTRE IMPRIMERIE (LABEUR) Domaine : Transport, Logistique, Manutention Niveau : ECOLE DE BASE, C.A.P, APPRENTI Profession à exercer : Lieu de travail : 15 RUE DE LA MECANIQUE EX 8602 CHARGUIA Nombre de postes proposés : 3 Bureau de l'emploi : CHARGUIA Région : TUNIS Tel : 71802027 Fax : 71772248 Adresse : 18 RUE DE L'ENEGIE NUCLAIRE CHARGUIA 1 2035 E-mail : ComSolutions",https://www.optioncarriere.tn/jobad/tna46e81139faf0d4038e8777c96126a61
Community manager,HOTEL MEDI GOLF HOUDA YASMINE,Nabeul,CDI,Temps-plein,Il y a 2 heures,"Référence : 2140/2025/1978 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : HOTEL MEDI GOLF HOUDA YASMINE Adresse : HAMMAMET YASMINE Région : NABEUL Code postal : 8050 Téléphone : 72245199 E-mail : ASSTPERSO.YASMINE@HOUDAHOTELSTUNISIA.COM Activité de l'entreprise : HOTELS ET HEBERGEMENT SIMILAIRE Domaine : Informatique, Télécom, Multimedia Niveau : BAC ET PLUS SANS DIPLOME Spécialité d'étude : MARKETING TOURISTIQUE Poste proposé : COMMUNITY MANAGER HOTEL Il sera appelé à : DEVELOPPER ET GERER L'IMAGE DE L'HOTEL EN LIGNE,RENFORCER SA NOTORIETE,ATTIRER DES NOUVEAUX CLIENTS ET FEDELISER LES ANCIENS,EN ANIMANT LES RESEAUX SOCIAUX ET EN CREANT DU CONTENU DE QUALITE Profession à exercer : Lieu de travail : HAMMAMET YASMINE Expérience souhaitée : 1 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAMET Région : NABEUL Tel : 72283364 Fax : 72279494 Adresse : 53 AV EL AKABA EL HECHIMIA-HAMMAMET 8050 E-mail : HOTEL MEDI GOLF HOUDA YASMINE",https://www.optioncarriere.tn/jobad/tnc7132856fa64311b662da3f358223692
Animateur / Animatrice d'enfants,JARDIN D'ENFANTS ZINA,Sfax,CDI,Temps-plein,Il y a 2 heures,"Référence : 6140/2025/3249 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : JARDIN D'ENFANTS ZINA Adresse : RTE AIN KM1SFAX Région : SFAX Code postal : 3051 Téléphone : 25654302 Activité de l'entreprise : ACTIVITES DES MENAGES EN TANT QU'EMPLOYEURS DE PERSONNEL DOMESTIQUE Domaine : Services Sociaux, Animation jeunesse et enfance, Sports et loisirs Diplôme d'étude : LICENCE / Spécialité d'étude : ANIMATION CULTURELLE Profession à exercer : Lieu de travail : SFAX Nombre de postes proposés : 1 Bureau de l'emploi : SFAX SUD Région : SFAX Tel : 74400428 Fax : 74403042 Adresse : AVENUE 7 NOVEMBRE IMM ELYASMINE SFAX SUD 3027 E-mail : JARDIN D'ENFANTS ZINA",https://www.optioncarriere.tn/jobad/tn5915ab37c39021213fd72f327a8cbf0f
Agent / Agente de saisie,STE GOLDEN ELIPSE TRADING AND DISTRIBUTI,Sfax,CDI,Temps-plein,Il y a 2 heures,Référence : 6140/2025/3247 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : STE GOLDEN ELIPSE TRADING AND DISTRIBUTI Adresse : ROUTE MENZEL CHAKER ZI OUED CHAABOUNI S Région : SFAX Code postal : 3013 Téléphone : 90385666 Activité de l'entreprise : COMMERCE DE GROS SPECIALISE D'AUTRES PRODUITS ALIMENTAIRES Domaine : Secrétariat Diplôme d'étude : LICENCE / Spécialité d'étude : SCIENCES DE GESTION Profession à exercer : Lieu de travail : SFAX Nombre de postes proposés : 1 Bureau de l'emploi : SFAX SUD Région : SFAX Tel : 74400428 Fax : 74403042 Adresse : AVENUE 7 NOVEMBRE IMM ELYASMINE SFAX SUD 3027 E-mail : STE GOLDEN ELIPSE TRADING AND DISTRIBUTI,https://www.optioncarriere.tn/jobad/tn03c0d013d5902739abc6afb1a11543a0
Comptable,HOTEL MOURADI,"Hammamet, Nabeul",CDI,Temps-plein,Il y a 2 heures,"Référence : 2140/2025/1975 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : HOTEL MOURADI Adresse : ZONE TOURISTIQUE YASMINE HAMMAMET Région : NABEUL Code postal : 8050 Téléphone : 72244100 Activité de l'entreprise : HOTELS ET HEBERGEMENT SIMILAIRE Domaine : Comptabilité, Audit, conseil Niveau : BAC ET PLUS SANS DIPLOME Poste proposé : comptable debiteur Profession à exercer : Lieu de travail : HAMMAMET Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAMET Région : NABEUL Tel : 72283364 Fax : 72279494 Adresse : 53 AV EL AKABA EL HECHIMIA-HAMMAMET 8050 E-mail : HOTEL MOURADI",https://www.optioncarriere.tn/jobad/tna4ac64baa27cb8666b626fb851022798
Ouvrier / Ouvrière de montage en appareils électriques,TUNISTAR FAB.FILS & CABLES ISOLES,Nabeul,CDI,Temps-plein,Il y a 3 heures,"Référence : 2140/2025/1974 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : TUNISTAR FAB.FILS & CABLES ISOLES Adresse : AV FAICAL IBN ABDELAZIZ Région : NABEUL Code postal : 8050 Téléphone : 72264575 Activité de l'entreprise : FABRICATION D'AUTRES FILS ET CABLES ELECTRONIQUES OU ELECTRIQUES Domaine : Electricité, Electronique, Electromécanique Niveau : SECONDAIRE, B.T.P Poste proposé : MANOEUVRE ORDINAIRE :- ASSEMBLAGE PIECES ELECTRIQUES MANUEL (FEMMES) -ASSEMBLAGE PIECES ELECTRIQUES SUR MACHINE (HOMMES+FEMMES) Profession à exercer : Lieu de travail : AV FAICAL IBN ABDELAZIZ Nombre de postes proposés : 6 Bureau de l'emploi : HAMMAMET Région : NABEUL Tel : 72283364 Fax : 72279494 Adresse : 53 AV EL AKABA EL HECHIMIA-HAMMAMET 8050 E-mail : TUNISTAR FAB.FILS & CABLES ISOLES",https://www.optioncarriere.tn/jobad/tn85d605146f5aa246a2f91f20fbf7249c
Vendeur / Vendeuse en prêt-à-porter,STE DESIGN MODE NABEUL,Nabeul,CDI,Temps-plein,Il y a 3 heures,"Référence : 2110/2025/2597 (Offre d'emploi) Date de publication : 24/11/2025 Entreprise : STE DESIGN MODE NABEUL Adresse : AVENUE HABIB BOURGUIBA IMMEUBLE LATIFA Région : NABEUL Code postal : 8000 Téléphone : 72232955 E-mail : GRH@EXIST-FASHION.TN Activité de l'entreprise : COMMERCE DE DETAIL DE CHAUSSURES ET D'ARTICLES EN CUIR EN MAGASIN SPECIALISE Domaine : Commerce, Vente, Publicité, Marketing Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : NABEUL Nombre de postes proposés : 1 Bureau de l'emploi : NABEUL Région : NABEUL Tel : 72272406 Fax : 72285222 Adresse : 19 RUE KHLIFA HAMROUNI NABEUL 8000 E-mail : STE DESIGN MODE NABEUL",https://www.optioncarriere.tn/jobad/tn767279b0843f52841491c9eeef16c13a
