title,detail_link,company,date_publication,sector,contract_type,study_level,experience,availability,location,region,city,salary_min,salary_max,description,skills,source,scraped_at,job_id
Charge Contentieux - Remedial Officer,https://www.keejob.com/offres-emploi/230874/charg%C3%A9-contentieux-remedial-officer/,,2025-11-29,"banque, finance, assurances",CDI,Bac + 3,Entre 2 et 5 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Bank ABC cherche a renforcer son departement Ressources Humaines par le recrutement d'un Charge Contentieux - Remedial Officer. Le Charge Contentieux veille a : Gerer et superviser les dossiers de contentieux en relation avec le recouvrement des creances Assurer le suivi des litiges et des procedures contentieux ou amiables. Etre l'interlocuteur(trice) principal(e) des differentes parties prenantes : clients, huissiers, avocats, tribunaux 1. Responsabilites et Missions Principales: Gerer et superviser les dossiers de contentieux en relation avec le recouvrement des creances (commercial, social, immobilier, penal, etc.) en collaboration avec les avocats et les auxiliaires de justice. Soumettre les accords de recouvrement au comite local de credit (LCCC). Assiste aux reunions avec les clients pour negocier toute sorte darrangement. Analyser les risques juridiques lies aux contentieux et proposer des strategies pour les minimiser. Preparer et suivre les echeances des dossiers contentieux en veillant a la conformite avec les delais legaux. Assurer la redaction et le suivi des correspondances, des rapports et des documents juridiques relatifs aux contentieux. Etre l'interlocuteur(trice) principal(e) des differentes parties prenantes : clients, huissiers, avocats, tribunaux. Mettre en place des actions preventives pour limiter les risques de contentieux. Assurer le suivi aupres des services concernes afin de s'assurer qu'ils fournissent toutes les informations necessaires au service recouvrement. 2. Experience : 3 a 5 ans dexperience dans une position similaire. 3. Attributs professionnels et personnels Organise (e) Bonnes qualites de communication Esprit dequipe Expertise en recouvrement","communication, travail en equipe, organisation",keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi230874chargc3a9contentieuxremedialofficer
Stage en Ressources Humaines,https://www.keejob.com/offres-emploi/224348/stage-en-ressources-humaines/,,2025-11-29,"banque, finance, assurances",Saisonnier,Bac + 3,Aucune experience,Plein temps,"La Marsa, Tunis, Tunisie",Tunis,La Marsa,,,"Vous etes passionne(e) par le metier des Ressources Humaines et a la recherche d'un stage pour developper vos competences dans le domaine ? Bank ABC Tunisie vous offre cette opportunite et recrute un (e) Stagiaire en Ressources Humaines pour rejoindre notre equipe RH. Vous participerez aux taches suivantes : Recrutement - Appui a lanalyse des besoins en recrutement. - Appui a la redaction et mise en ligne des annonces. - Appui a la preselection des candidatures. - Appui a la conduite les entretiens telephoniques. - Appui a la planification des entrevues. - Appui a laccompagnement des nouvelles recrues jusqua leur integration. Formation - Appui a la mise en uvre du plan de formation. - Appui a la realisation des tableaux de bord reguliers sur differents axes d'analyse de la formation : formation mandataires, CNFCPP, etc. Projets RH - Appui a la digitalisation des dossiers RH. Profil du candidat - Disponible immediatement - Vous disposez d'une lettre d'affectation Universitaire et vous souhaitez approfondir votre formation par un stage en Ressources Humaines. - Dynamique et organise (e). Date du debut du stage : 01/12/2025 Lieu du stage : Berges du Lac 1",organisation,keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi224348stageenressourceshumaines
Agent de Service Support/Agent(e) dEntretien,https://www.keejob.com/offres-emploi/224036/agent-de-service-supportagente-dentretien/,,2025-11-29,"banque, finance, assurances",CDI,Secondaire,Entre 2 et 5 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Bank ABC Tunisie recrute pour le poste dAgent(e) de Service Support/ Agent(e) dEntretien. Principales taches & Responsabilites: Entretien des locaux : Nettoyage des sols (balayage, aspiration, lavage) Depoussierage des surfaces, mobilier, objets et equipements Nettoyage des vitres, miroirs, portes, interrupteurs Desinfection reguliere des zones de contact (poignees, interrupteurs, telephones...). Sanitaires et espaces communs : Desinfection des toilettes, lavabos, poignees, surfaces sensibles Approvisionnement des consommables (papier, savon, essuie-mains) Nettoyage et desinfection des cuisines / coins repas si applicable Gestion du materiel : Entretien courant du materiel et des equipements de nettoyage Signalement des anomalies, pannes ou deteriorations Respect des protocoles dutilisation des produits dentretien Port dun badge et dun uniforme de service. Respect des normes : Application rigoureuse des consignes de securite et dhygiene Tri selectif des dechets Participation au maintien dun cadre de travail agreable et sain Respect absolu de la confidentialite. Exigences du Poste: Connaissances Connaissance des produits et materiels de nettoyage. Connaissance des regles de securite (port de gants, produits, etc.) Education / Certifications Diplome scolaire Experience Experience souhaitee dans le nettoyage professionnel (entreprises, hotels, institutions, residences) Qualites Personnelles Bonne communication & sens du service Sens de la proprete, du detail et de lorganisation Discretion, ponctualite, fiabilite Capacite a travailler de maniere autonome ou en equipe Ponctualite et respect des horaires (souvent en horaires decales ou en dehors des heures douverture). Reactivite face aux demandes urgentes dentretien ponctuel. Bank ABC est un employeur equitable.","communication, gestion",keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi224036agentdeservicesupportagentedentretien
Agent de Service General / Agent de Securite,https://www.keejob.com/offres-emploi/224034/agent-de-service-g%C3%A9n%C3%A9ral-agent-de-s%C3%A9curit%C3%A9/,,2025-11-29,"banque, finance, assurances",CDI,Secondaire,Entre 2 et 5 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Bank ABC recrute pour le poste dAgent de Service General / Agent de Securite. Lagent de Service General est charge d'assurer la securite des locaux, des personnes (employes, clients) et des biens (especes, documents, equipements) au sein de la Banque. Il veille au respect des consignes de securite et intervient en cas de situation suspecte ou dincident. Principales taches & Responsabilites: Surveillance des acces : Controler les entrees et sorties des personnes, orienter les visiteurs. Rondes de securite : Effectuer des rondes regulieres a linterieur et autour de lagence/ batiment pour detecter toute anomalie ou comportement suspect. Prevention des actes de malveillance : Dissuader les comportements delictueux, reperer les individus suspects. Securite incendie : Verification des dispositifs de securite : alarmes, extincteurs, issues de secours, portes securisees, etc. et intervenir en cas dalertes. Gestion des situations durgence : Reagir efficacement en cas dalerte, dagression, de vol ou devacuation. Remontee efficace des alertes : Remonter les alertes dans les delais necessaires au superieur hierarchique (ou toute autre personne designee) pour assurer la coordination avec la police ou la gendarmerie en cas dintervention. Redaction de rapports : Noter les incidents et rediger des comptes rendus de securite. Gestion des flux dans les zones sensibles (salles serveurs, coffres, bureaux de direction, etc.). Exigences du Poste: Connaissance Connaissance des regles de securite et de surete Sens de lobservation et de lanticipation Maitrise des gestes de premiers secours (souhaitee) Connaissance de base des differents materiels d'alarme, de surveillance et de gestion des departs incendies. Education / Certifications Certificat Scolaire Experience Une experience dans la securite physique est souhaitee Qualites Personnelles Capacite a garder son sang-froid Discretion, ponctualite, fiabilite Bonne communication & sens du service Sens du detail et de lorganisation Capacite a travailler de maniere autonome ou en equipe Disponibilite pour le travail de nuit, week-ends, jours feries. Bank ABC est un employeur equitable.","communication, gestion",keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi224034agentdeservicegc3a9nc3a9ralagentdesc3a9curitc3a9
Head of Corporate,https://www.keejob.com/offres-emploi/222930/head-of-corporate/,,2025-11-29,"banque, finance, assurances",,Bac + 5,Plus que 10 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Bank ABC Tunisia is hiring within its Wholesale Banking Division a Head of Corporate reporting directly to the Head of Wholesale Banking. I - Principal Responsibilities, Accountabilities and Deliverables of Role The Head of Corporate is responsible for establishing: Account Strategy: Grow and protect client portfolio in view of reducing concentration and dependency on a limited number of names and of reaching the goals in terms of revenues, loans, and deposits. Exit marginal relationships to improve RMs efficiency. Ensure frequent client meetings to protect and grow Bank ABC share of wallet with existing clients and acquire new clients. Maximize Portfolio Productivity by re-pricing portfolio, improve return matrix ensure cross selling and product penetration, and identify opportunities in line with defensive industry outlook. In collaboration with RMs, to grow liabilities, increase monthly average client deposits, and diversify Client base and decrease concentration of non-resident FCY depositors. Focus on growing number of operating accounts and enhance CASA composition of total liabilities. Deal origination: Originate and maintain existing and new client relationships. Grow operating income and drive more cross-network business. Improve portfolio productivity and return matrix. Grow & diversify the client base, and drive activity. Ensure TOI maximizing exposure and comply by unit Risk appetite. Ensure Retail-WB synergy and introductions to retail banking. Ensure the KPIs and KRIs are met. Credit & Risk management: Protect the portfolio and ensure its adequate resilience. Ensure to produce quality CAFs and quick turnaround time in terms of CAF approvals to improve client satisfaction. Ensure timely renewal of existing CAFs, escalate red flags when identified, prevent credit risk and ultimately reduce provision ratio. Leadership and Teamwork: Attract new talents and keep/grow existing ones in order to strengthen ABCT Corporate team and ensure successors for key Corporate positions. Follow-up exemplary standards that match Bank ABC Values. Provide leadership that creates a tone of accessibility and continuous improvement. Be available to clients and ensure consulting and support regarding their financial needs Team Management Mobilize the right people and resources, coordinate with different departments, to deliver timely accurate and excellent services to clients. II - Job Requirements: Knowledge: Analytical / credit skills, knowledge of Tunisian market and main players, understanding of sector trends, Client relationship skills. Sound knowledge of Corporate products Strong credit analysis and credit administration skills. Strong computer skills with capability to use spreadsheet, graphic and presentation packages to review and create professional materials Good knowledge of the banking regulation and of the banking products With strong relationship with the top executives of the most prominent companies in the market and substantial client portfolio. Experience: 10 years and plus of of Senior/Management position Corporate experience.. Language: Fluent in French, English and Arabic (as they will cover Libya ). Personal Attributes: Ability to be flexible and to juggle multiple priorities, including business driven deadlines People management skills, providing counselling and guidance to optimize utilization of resources and achieve results, focusing on developing team members to fulfil their potential Demonstrated ability to maintain integrity, confidentiality and diplomacy under all circumstances. Bank ABC is an equal opportunity employer.","management, leadership",keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi222930headofcorporate
HR Development Manager,https://www.keejob.com/offres-emploi/221915/hr-development-manager/,,2025-11-29,"banque, finance, assurances",CDI,Bac + 5,Plus que 10 ans,Plein temps,"Tunis, Tunisie",,Tunis,,,"Bank ABC Tunisia is reinforcing it's Human Resources Department with the recruitment of an HR Development Manager. The HR Development Manager works under the supervision of the local Head of HR to ensure that HR Department supports the Bank in a way that is constantly improving the development and effectiveness of the organization as this relates to its people. 1- Main Responsibilities: Under the supervision of the local Head of HR, the HR Development manager will have the following under their scope: - Employee Engagement Conduct and report appropriate employee engagement surveys, and oversee sustainable action plans. - Diversity Implement a program of awareness, under the lead and guidance of the local Head of HR with appropriate interventions to promote diversity, impact the careers of local staff members and the performance of Bank ABC Tunisia. This program will initially focus on gender diversity. - HR Policies Ensure that HR Policies are fit for purpose, as transparent as possible, align with and support the Banks culture and values, and are legally and regulatory compliant. As the process moves forward, report all policy status and updates to the local Head of HR for approval. - Succession Planning Implement, refresh the succession planning process, and report all observations and findings to the local Head of HR with a view to making it more effective and also ensuring that it meets regulatory expectations. Help the local Head of HR to ensure that named successors have been appropriately screened and that realistic development plans are in place, as appropriate. - Board Training Help the local Head of HR Department to make sure that current Board Members trainings are appropriate and comply with regulatory expectations and good practice. - Leadership Development Assist the Local Head of HR in the creation of new leadership development offerings that directly support the business strategy. Help build mobility programs and supporting policies following the commands of the local Head of HR, to ensure cost effectiveness (i.e. secondments for key talent). Link to succession planning as appropriate. - Training & Development Analyze training and development strategies in coordination with line managers, by considering immediate and long-term skills requirements, with a group-wide focus. Improve training and development programs based on the needs of the organization and the individual linking to succession planning as appropriate. Report all findings and observations about the development and implementation of all training to ensure that it supports business strategy/requirements. Actively promote an open knowledge-sharing environment that builds knowledge & skills for the benefit of the organization. Help manage an employee career development process that ties in with succession planning. Consider and report the costs of training to keep them within budgets, as well as assessing the return on investment. Improve the processes for selecting, contracting and monitoring training providers, and capitalize on economies of scale. Improve the Management Trainee Program in order to cultivate future talents for challenging, rewarding professional careers within the Bank. - Bank ABC Academy Develop and manage ABC Academy, virtual or otherwise. - Recruitment Manage the recruitment process. Establish excellent working relationships with MANCOM, and Group Heads of function, in particular, and work to ensure that they are receiving an excellent HR service. Assisting them to drive change and to ensure that best practices are being spread around the group. - Team Management Manage the Training and Career Development Officer and Talent Acquisition Officer. Ensure the Back-up of the HR Operations Manager Consolidate the HR Development Team professional skills to ensure a high level of multitasking knowledge of the Team. 2- Job Requirements: - Education: Masters or Bachelors degree in Human Resources or any relevant field. Certifications/ Qualifications in relevant areas such as psychometrics, or leadership coaching are an advantage - Experience: 5 to 10 years of experience in HR. 5 years of experience designing and implementing employee development programs. - Knowledge: - Understanding of the importance of employee engagement, the factors that drive it, and how to create positive change. - Understanding of how to align interventions to support strategy, and of how to assess the effectiveness of interventions. - Understanding of the succession planning, diversity, links to recruitment and to other key HR areas. - Understanding and knowledge of strategic recruitment - Understanding of HR Policies and how they can be used to support and re-enforce desired organization culture, values and behavior. Personal Attributes: - Outstanding interpersonal, relationship building and employee coaching skills. - Passionate and enthusiastic about delivering training. - Tenacious approach to delivery and quality of output. - Professional, confidential, ethical and diplomatic attitude under all circumstances. - Excellent communication and interpersonal skills. - Open-minded, culturally sensitive, people-oriented, non-judgmental. - English, Arabic and French speaking is an advantage.","communication, management, leadership",keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi221915hrdevelopmentmanager
Tecnocasa Marsa Les Pins,https://www.keejob.com/offres-emploi/232692/tecnocasa-marsa-les-pins/,,2025-11-29,"architecture, immobilier, BTP",CDI,Bac + 2,Moins dun an,Plein temps,"La Marsa, Tunis, Tunisie",Tunis,La Marsa,,,"TECNOCASA TUNISIE est devenue le premier groupe d'agence immobilieres independantes du pays et compte actuellement 80 agences dans les regions suivantes: - le Grand Tunis: la banlieue nord-la banlieue sud -Sousse: Sahloul-Sousse Bouhssina-Jaouhara-Corniche -Monastir: La Falaise- Skanes-El Agba-Centreville -Mahdia: Centreville-la zone touristique-Rejich-Bkalta-Baghdadi-Kssour Essef-Chebba -Sfax -Kairouan -Bizerte Informations relatives au poste : Conseiller Immobilier (agent immobilier) Horaires de travail : du lundi au vendredi de 09h a13h et de 14h :30 a 19h :30 le samedi de 09h a13h et de 14h a 18h:30. Taches a effectuer : Veritable travail sur terrain, votre mission consiste a prospecter la clientele de la zone pour constituer, entretenir et developper un portefeuille. Les principales taches sont : Prospecter sur le terrain la clientele de la zone pour constituer, entretenir et developper un portefeuille. Conseiller les clients et les assister durant toutes les phases de la negociation. Participer activement a la vie de lequipe. Contribuer au developpement du chiffre daffaires de lagence Veiller a la satisfaction client et au respect des normes de travail de lentreprise Competences requises :Ambitieux et dote dune fibre commerciale Salaire mensuel : la remuneration de base offerte est un fixe de 750 Dinars + une variable equivalente a 10% du chiffre daffaires genere Type de contrat : SIVP/CDI Perspective devolution de carriere : tres etendue passage du poste conseiller en immobilier au poste de chef dagence a un affilie (e)",,keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi232692tecnocasamarsalespins
Delegue medical Tunis,https://www.keejob.com/offres-emploi/232703/d%C3%A9l%C3%A9gu%C3%A9-m%C3%A9dical-tunis/,,2025-11-29,"sante, paramedical, optique",CDI,Doctorat,Aucune experience,Plein temps,"Tunis, Tunisie",,Tunis,,,"La societe SMR Pharma de promotions pharmaceutiques recherche : un delegue medical base a Tunis Pharmacien motorise afin de: - Assurer la promotion et la vente dune gamme des produits references pharmaceutiques (medicaments) - Developper le chiffre d'affaires et de fideliser un portefeuille clients de pharmaciens. - Prospecter un portefeuille de nouveaux adherents (grossistes, pharmacies et medecins hospitaliers et prives)",,keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi232703dc3a9lc3a9guc3a9mc3a9dicaltunis
Charge Audit QESH Zone Cap Bon,https://www.keejob.com/offres-emploi/232701/charg%C3%A9-audit-qesh-zone-cap-bon/,,2025-11-29,"commerce, vente, distribution",CDI,Bac + 5,Entre 2 et 5 ans,Plein temps,"Ben Arous, Ben Arous, Tunisie",,Ben Arous,,,"AZIZA, enseigne leader dans la grande distribution et filiale dun groupe de renom, renforce son equipe et recrute un(e) Charge Audit QESH Zone Cap Bon Vos missions principales : Planifier et realiser les audits QESH au niveau des Magasins et Sites de la zone Cap Bon. Identifier les ecarts par rapport aux procedures internes et exigences normatives. Rediger et communiquer les rapports daudit dans les delais impartis. Mener des investigations terrain en Qualite, Hygiene, Environnement et Securite. Remonter les alertes et incidents a la hierarchie. Suivre les indicateurs daudit et assurer le reporting. Profil recherche : Bac+3 / Bac+5 en Qualite, Hygiene, Environnement, Securite ou equivalent. Avoir au minimum 2 ans dexperience dans laudit ou les metiers QHSE. Sens de lanalyse, rigueur et esprit dinvestigation. Aisance relationnelle et capacite a accompagner les equipes terrain. Organisation, reactivite et maitrise des outils bureautiques. Rejoignez une enseigne en pleine croissance et contribuez a lamelioration continue de nos standards QESH !",,keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi232701chargc3a9auditqeshzonecapbon
TECNOCASA LAOUINA AGENT IMMOBILIER,https://www.keejob.com/offres-emploi/232690/offre-demploi-tecnocasa-laouina/,,2025-11-29,"architecture, immobilier, BTP",CDI,Bac + 2,Moins dun an,Plein temps,"La Marsa, Tunis, Tunisie",Tunis,La Marsa,,,"TECNOCASA TUNISIE est devenue le premier groupe d'agence immobilieres independantes du pays et compte actuellement 80 agences dans les regions suivantes: - le Grand Tunis: la banlieue nord-la banlieue sud -El Manezeh-El Manarat- Ennasr-Ariana-Mannouba -Sousse: Sahloul-Sousse Bouhssina-Jaouhara-Corniche -Monastir: La Falaise- Skanes-El Agba-Centreville -Mahdia: Centreville-la zone touristique-Rejich-Bkalta-Baghdadi-Kssour Essef-Chebba -Sfax -Kairouan -Bizerte 1. Informations relatives au poste : Poste n1 : Conseiller Immobilier (agent immobilier)Horaires de travail : du lundi au vendredi de 09h a13h et de 14h :30 a 19h :30/ le samedi de 09h a13h et de 14h a 18h:30. Taches a effectuer : Veritable travail sur terrain, votre mission consiste a prospecter la clientele de la zone pour constituer, entretenir et developper un portefeuille. Les principales taches sont : Prospecter sur le terrain la clientele de la zone pour constituer, entretenir et developper un portefeuille. Conseiller les clients et les assister durant toutes les phases de la negociation. Participer activement a la vie de lequipe. Contribuer au developpement du chiffre daffaires de lagence Veiller a la satisfaction client et au respect des normes de travail de lentreprise Competences requises :Ambitieux et dote dune fibre commerciale Salaire mensuel : la remuneration de base offerte est un fixe de 700 Dinars + un variable de 10% du chiffre daffaires genere Type de contrat : SIVP/CDD-CDI Perspective devolution de carriere : tres etendue passage du poste conseiller en immobilier au poste de chef dagence a un affilie (e) Poste n02: Conseiller en agence (coordinatrice) Horaires de travail : du lundi au vendredi de 09h a13h et de 14h :30 a 19h :30/ le samedi de 09h a13h et de 14h a 18h:30 Taches a effectuer : Votre mission est de prendre en charge les clients en agence et assurer la promotion des biens en portefeuille. Les principales taches sont : Accueillir, informer et repondre aux differentes requetes des visiteurs et clients de lagence. Assurer la gestion commerciale et administrative de lagence Assister lequipe et veiller au bon fonctionnement de lagence. Competences requises :- ambitieux et dote dune fibre commerciale Salaire mensuel : la remuneration de base offerte est un fixe de 700 Dinars + un variable par palier qui va de 02% a 05% du chiffre daffaires genere Type de contrat : SIVP/CDI",gestion,keejob,2025-11-30 13:00:54,httpswwwkeejobcomoffresemploi232690offredemploitecnocasalaouina
