title,detail_link,sector,contract_type,date_publication,location,salary,study_level,experience,availability,description,source,scraped_at
Stage en Ressources Humaines,https://www.keejob.com/offres-emploi/224348/stage-en-ressources-humaines/,banque / finance / assurances,Saisonnier,30 novembre 2025,"La Marsa, Tunis, Tunisie",,Bac + 3,Aucune expérience,Plein temps,"Vous êtes passionné(e) par le métier des Ressources Humaines et à la recherche d'un stage pour développer vos compétences dans le domaine ? Bank ABC Tunisie vous offre cette opportunité et recrute un (e) Stagiaire en Ressources Humaines pour rejoindre notre équipe RH.
Vous participerez aux tâches suivantes :
Recrutement
-  Appui à l’analyse des besoins en recrutement.
-  Appui à la rédaction et mise en ligne des annonces.
-  Appui à la présélection des candidatures.
-  Appui à la conduite les entretiens téléphoniques.
-  Appui à la planification des entrevues.
-  Appui à l’accompagnement des nouvelles recrues jusqu’à leur intégration.  
Formation
-  Appui à la mise en œuvre du plan de formation.
-  Appui à la réalisation des tableaux de bord réguliers sur différents axes d'analyse de la formation : formation mandataires, CNFCPP, etc.
Projets RH
-  Appui à la digitalisation des dossiers RH.
Profil du candidat
-  Disponible immédiatement 
-  Vous disposez d'une lettre d'affectation Universitaire et vous souhaitez approfondir votre formation par un stage en Ressources Humaines.
-  Dynamique et organisé (e). 
Date du debut du stage : 01/12/2025
Lieu du stage : Berges du Lac 1",keejob,2025-11-30 17:45:03
Agent de Service Général / Agent de Sécurité,https://www.keejob.com/offres-emploi/224034/agent-de-service-g%C3%A9n%C3%A9ral-agent-de-s%C3%A9curit%C3%A9/,banque / finance / assurances,CDI,30 novembre 2025,"Tunis, Tunisie",,Secondaire,Entre 2 et 5 ans,Plein temps,"Bank ABC recrute pour le poste d’Agent de Service Général / Agent de Sécurité.
L’agent de Service Général est chargé d'assurer la sécurité des locaux, des personnes (employés, clients) et des biens (espèces, documents, équipements) au sein de la Banque. Il veille au respect des consignes de sécurité et intervient en cas de situation suspecte ou d’incident.

Principales tâches & Responsabilités:
Surveillance des accès : Contrôler les entrées et sorties des personnes, orienter les visiteurs. 
Rondes de sécurité : Effectuer des rondes régulières à l’intérieur et autour de l’agence/ batiment pour détecter toute anomalie ou comportement suspect.
Prévention des actes de malveillance : Dissuader les comportements délictueux, repérer les individus suspects.
Sécurité incendie : Vérification des dispositifs de sécurité : alarmes, extincteurs, issues de secours, portes sécurisées, etc. et intervenir en cas d’alertes.
Gestion des situations d’urgence : Réagir efficacement en cas d’alerte, d’agression, de vol ou d’évacuation.
Remontée efficace des alertes : Remonter les alertes dans les délais nécessaires au supérieur hiérarchique (ou toute autre personne désignée) pour assurer la coordination avec la police ou la gendarmerie en cas d’intervention.
Rédaction de rapports : Noter les incidents et rédiger des comptes rendus de sécurité.
Gestion des flux dans les zones sensibles (salles serveurs, coffres, bureaux de direction, etc.).

Exigences du Poste:
Connaissance  
Connaissance des règles de sécurité et de sûreté
Sens de l’observation et de l’anticipation
Maîtrise des gestes de premiers secours (souhaitée)
Connaissance de base des différents matériels d'alarme, de surveillance et de gestion des départs incendies. 

Education / Certifications  
Certificat Scolaire

Expérience 
Une expérience dans la sécurité physique est souhaitée

Qualités Personnelles
Capacité à garder son sang-froid
Discrétion, ponctualité, fiabilité
Bonne communication & sens du service
Sens du détail et de l’organisation
Capacité à travailler de manière autonome ou en équipe
Disponibilité pour le travail de nuit, week-ends, jours fériés.

Bank ABC est un employeur équitable.",keejob,2025-11-30 17:45:07
Agent de Service Support/Agent(e) d’Entretien,https://www.keejob.com/offres-emploi/224036/agent-de-service-supportagente-dentretien/,banque / finance / assurances,CDI,30 novembre 2025,"Tunis, Tunisie",,Secondaire,Entre 2 et 5 ans,Plein temps,"Bank ABC Tunisie recrute pour le poste d’Agent(e) de Service Support/ Agent(e) d’Entretien.
Principales tâches & Responsabilités:
Entretien des locaux :
Nettoyage des sols (balayage, aspiration, lavage)
Dépoussiérage des surfaces, mobilier, objets et équipements
Nettoyage des vitres, miroirs, portes, interrupteurs
Désinfection régulière des zones de contact (poignées, interrupteurs, téléphones…).
Sanitaires et espaces communs :
Désinfection des toilettes, lavabos, poignées, surfaces sensibles
Approvisionnement des consommables (papier, savon, essuie-mains)
Nettoyage et désinfection des cuisines / coins repas si applicable
Gestion du matériel :
Entretien courant du matériel et des équipements de nettoyage
Signalement des anomalies, pannes ou détériorations
Respect des protocoles d’utilisation des produits d’entretien
Port d’un badge et d’un uniforme de service.
Respect des normes :
Application rigoureuse des consignes de sécurité et d’hygiène
Tri sélectif des déchets
Participation au maintien d’un cadre de travail agréable et sain
Respect absolu de la confidentialité.
Exigences du Poste:
Connaissances
Connaissance des produits et matériels de nettoyage.
Connaissance des règles de sécurité (port de gants, produits, etc.)
Education / Certifications
Diplôme scolaire 
Expérience
Expérience souhaitée dans le nettoyage professionnel (entreprises, hôtels, institutions, résidences)
Qualités Personnelles
Bonne communication & sens du service
Sens de la propreté, du détail et de l’organisation
Discrétion, ponctualité, fiabilité
Capacité à travailler de manière autonome ou en équipe
Ponctualité et respect des horaires (souvent en horaires décalés ou en dehors des heures d’ouverture).
Réactivité face aux demandes urgentes d’entretien ponctuel.

Bank ABC est un employeur équitable.",keejob,2025-11-30 17:45:11
Head of Corporate,https://www.keejob.com/offres-emploi/222930/head-of-corporate/,banque / finance / assurances,,30 novembre 2025,"Tunis, Tunisie",,Bac + 5,Plus que 10 ans,Plein temps,"Bank ABC Tunisia is hiring within its Wholesale Banking Division a Head of Corporate reporting directly to the Head of Wholesale Banking.
I - Principal Responsibilities, Accountabilities and Deliverables of Role
The Head of Corporate is responsible for establishing:
Account Strategy:
Grow and protect client portfolio in view of reducing concentration and dependency on a limited number of names and of reaching the goals in terms of revenues, loans, and deposits.
Exit marginal relationships to improve RMs efficiency.
Ensure frequent client meetings to protect and grow Bank ABC share of wallet with existing clients and acquire new clients.
Maximize Portfolio Productivity by re-pricing portfolio, improve return matrix ensure cross selling and product penetration, and identify opportunities in line with defensive industry outlook.
In collaboration with RMs, to grow liabilities, increase monthly average client deposits, and diversify Client base and decrease concentration of non-resident FCY depositors.
Focus on growing number of operating accounts and enhance CASA composition of total liabilities.
Deal origination:
Originate and maintain existing and new client relationships.
Grow operating income and drive more cross-network business.
Improve portfolio productivity and return matrix.
Grow & diversify the client base, and drive activity.
Ensure TOI maximizing exposure and comply by unit Risk appetite.
Ensure Retail-WB synergy and introductions to retail banking.
Ensure the KPIs and KRIs are met.
Credit & Risk management:
Protect the portfolio and ensure its adequate resilience.
Ensure to produce quality CAFs and quick turnaround time in terms of CAF approvals to improve client satisfaction.
Ensure timely renewal of existing CAFs, escalate red flags when identified, prevent credit risk and ultimately reduce provision ratio.
Leadership and Teamwork:
Attract new talents and keep/grow existing ones in order to strengthen ABCT Corporate team and ensure successors for key Corporate positions.
Follow-up exemplary standards that match Bank ABC Values.
Provide leadership that creates a tone of accessibility and continuous improvement.
Be available to clients and ensure consulting and support regarding their financial needs
Team Management
Mobilize the right people and resources, coordinate with different departments, to deliver timely accurate and excellent services to clients.
II - Job Requirements:
Knowledge:
 •  Analytical / credit skills, knowledge of Tunisian market and main players, understanding of sector trends,
 •  Client relationship skills.
 •  Sound knowledge of Corporate products
 •  Strong credit analysis and credit administration skills.
 •  Strong computer skills with capability to use spreadsheet, graphic and presentation packages to review and create professional materials
 •  Good knowledge of the banking regulation and of the banking products
 •  With strong relationship with the top executives of the most prominent companies in the market and substantial client portfolio.
Experience:
 •  10 years and plus of of Senior/Management position Corporate experience..
Language:
 •  Fluent in French, English and Arabic (as they will cover Libya ).
Personal Attributes:
 •  Ability to be flexible and to juggle multiple priorities, including business driven deadlines
 •  People management skills, providing counselling and guidance to optimize utilization of resources and achieve results, focusing on developing team members to fulfil their potential
 •  Demonstrated ability to maintain integrity, confidentiality and diplomacy under all circumstances.
Bank ABC is an equal opportunity employer.",keejob,2025-11-30 17:45:18
HR Development Manager,https://www.keejob.com/offres-emploi/221915/hr-development-manager/,banque / finance / assurances,CDI,30 novembre 2025,"Tunis, Tunisie",,Bac + 5,Plus que 10 ans,Plein temps,"Bank ABC Tunisia is reinforcing it's Human Resources Department with the recruitment of an HR Development Manager.
The HR Development Manager works under the supervision of the local Head of HR to ensure that HR Department supports the Bank in a way that is constantly improving the development and effectiveness of the organization as this relates to its people. 
       1- Main Responsibilities:
Under the supervision of the local Head of HR, the HR Development manager will have the following under their scope:
-  Employee Engagement
Conduct and report appropriate employee engagement surveys, and oversee sustainable action plans.
-  Diversity 
Implement a program of awareness, under the lead and guidance of the local Head of HR with appropriate interventions to promote diversity, impact the careers of local staff members and the performance of Bank ABC Tunisia.
This program will initially focus on gender diversity.
-  HR Policies
Ensure that HR Policies are fit for purpose, as transparent as possible, align with and support the Bank’s culture and values, and are legally and regulatory compliant.
As the process moves forward, report all policy status and updates to the local Head of HR for approval.
-  Succession Planning
Implement, refresh the succession planning process, and report all observations and findings to the local Head of HR with a view to making it more effective and also ensuring that it meets regulatory expectations.
Help the local Head of HR to ensure that named successors have been appropriately screened and that realistic development plans are in place, as appropriate.
-  Board Training
Help the local Head of HR Department to make sure that current Board Members trainings are appropriate and comply with regulatory expectations and good practice.
-  Leadership Development
Assist the Local Head of HR in the creation of new leadership development offerings that directly support the business strategy.
Help build mobility programs and supporting policies following the commands of the local Head of HR, to ensure cost effectiveness (i.e. secondments for key talent).
Link to succession planning as appropriate.
-  Training & Development
Analyze training and development strategies in coordination with line managers, by considering immediate and long-term skills requirements, with a group-wide focus.
Improve training and development programs based on the needs of the organization and the individual – linking to succession planning as appropriate.
Report all findings and observations about the development and implementation of all training to ensure that it supports business strategy/requirements.
Actively promote an open knowledge-sharing environment that builds knowledge & skills for the benefit of the organization.
Help manage an employee career development process that ties in with succession planning.
Consider and report the costs of training to keep them within budgets, as well as assessing the return on investment.
Improve the processes for selecting, contracting and monitoring training providers, and capitalize on economies of scale.
Improve the Management Trainee Program in order to cultivate future talents for challenging, rewarding professional careers within the Bank. 
-  Bank ABC Academy
Develop and manage ABC Academy, virtual or otherwise.
-  Recruitment
Manage the recruitment process. 
Establish excellent working relationships with MANCOM, and Group Heads of function, in particular, and work to ensure that they are receiving an excellent HR service.
Assisting them to drive change and to ensure that best practices are being spread around the group.
-  Team Management
Manage the Training and Career Development Officer and Talent Acquisition Officer.
Ensure the Back-up of the HR Operations Manager
Consolidate the HR Development Team professional skills to ensure a high level of multitasking knowledge of the Team.
       2- Job Requirements:
- Education:  
Master’s or Bachelor’s degree in Human Resources or any relevant field.
Certifications/ Qualifications in relevant areas such as psychometrics, or leadership coaching are an advantage
- Experience:
5 to 10 years of experience in HR.
5 years of experience designing and implementing employee development programs.
- Knowledge: 
- Understanding of the importance of employee engagement, the factors that drive it, and how to create positive change.
- Understanding of how to align interventions to support strategy, and of how to assess the effectiveness of interventions.
- Understanding of the succession planning, diversity, links to recruitment and to other key HR areas.
- Understanding and knowledge of strategic recruitment
- Understanding of HR Policies and how they can be used to support and re-enforce desired organization culture, values and behavior.
Personal Attributes: 
-  Outstanding interpersonal, relationship building and employee coaching skills.
-  Passionate and enthusiastic about delivering training.
-  Tenacious approach to delivery and quality of output.
-  Professional, confidential, ethical and diplomatic attitude under all circumstances.
-  Excellent communication and interpersonal skills.
-  Open-minded, culturally sensitive, people-oriented, non-judgmental.
- English, Arabic and French speaking is an advantage.",keejob,2025-11-30 17:45:22
Délégué médical Tunis,https://www.keejob.com/offres-emploi/232703/d%C3%A9l%C3%A9gu%C3%A9-m%C3%A9dical-tunis/,santé / paramédical / optique,CDI,30 novembre 2025,"Tunis, Tunisie",,Doctorat,Aucune expérience,Plein temps,"La société SMR Pharma de promotions pharmaceutiques recherche :
un délégué médical basé à Tunis Pharmacien motorisé afin de: 
  - Assurer la promotion et la vente d’une gamme des produits référencés pharmaceutiques (médicaments)

- Développer le chiffre d'affaires et de fidéliser un portefeuille clients de pharmaciens.
- Prospecter un portefeuille de nouveaux adhérents (grossistes, pharmacies et médecins hospitaliers et privés)",keejob,2025-11-30 17:45:26
Directeur de Production (Jbel ELOuest),https://www.keejob.com/offres-emploi/232644/directeur-de-production-jbal-elouest/,recrutement / ressources humaines,,30 novembre 2025,"Zaghouan, Tunisie",3500 - 4000 TND / Mois,Bac + 5,Entre 5 et 10 ans,Plein temps,"Nous recrutons pour notre client, usine spécialisée dans les éléments préfabriqués en béton (poutrelles et poutres précontraintes, entrevous et agglos), 
Directeur de production 
Le poste est stratégique, car il garantit :
la performance opérationnelle de l’usine,
la qualité des produits,
et le développement et la motivation des équipes.
MISSIONS: 
Superviser l’ensemble des activités de production de l’usine.
Encadrer 5 responsables de services et une équipe d’environ 60 personnes (techniciens, conducteurs de machines et ouvriers).
Garantir le respect des standards de production, de qualité et de sécurité.
Optimiser les process industriels et proposer des améliorations continues.
Participer au développement technique et à la formation des équipes.
PROFIL RECHERCHE :
Formation supérieure en génie industriel ou électromécanique
Expérience appréciée dans le secteur de la construction ou de la fabrication d’éléments préfabriqués en béton.
Compétences avérées en management d’équipes multidisciplinaires et en organisation industrielle.
Bonnes capacités de communication, leadership et esprit d’initiative.",keejob,2025-11-30 17:45:29
Chef des Ventes – Secteur Pharmacie / PARA,https://www.keejob.com/offres-emploi/232643/chef-des-ventes-secteur-pharmacie-para/,recrutement / ressources humaines,CDI,30 novembre 2025,"Tunis, Tunisie",2500 - 3000 TND / Mois,Bac + 5,Plus que 10 ans,Plein temps,"Nous recrutons pour le compte de notre client, groupe de sociétés,
Chef des Ventes – Secteur Parapharmacie / Pharma
Missions principales :
Management et encadrement de l’équipe commerciale
·  Superviser et accompagner les délégués dans leurs missions quotidiennes.
·  Fixer les objectifs commerciaux et assurer leur suivi.
·  Former et motiver l’équipe pour atteindre les performances attendues.
Développement du réseau de vente
·  Identifier et prospecter de nouveaux clients dans le secteur parapharmacie et pharmaceutique.
·  Développer des partenariats solides avec les clients existants.
·  Suivre les indicateurs de performance et proposer des actions correctives.
Commercialisation des dispositifs médicaux pour l’insuline
·  Présenter les produits et former les clients aux solutions proposées.
·  Mettre en place des stratégies de vente adaptées aux besoins du marché.
Reporting et analyse
·  Fournir un suivi régulier des résultats commerciaux à la direction.
·  Analyser les tendances du marché et proposer des initiatives pour augmenter le chiffre d’affaires.
Profil recherché :
·  Expérience confirmée dans le secteur paramédical, cosmétologie ou dermatologie.
·  Excellente connaissance des réseaux de vente.
·  Compétences en management d’équipe et leadership.
Capacité à atteindre les objectifs commerciaux et à développer le portefeuille clients",keejob,2025-11-30 17:45:32
Responsable Ressources Humaines,https://www.keejob.com/offres-emploi/232640/responsable-ressources-humaines/,recrutement / ressources humaines,,30 novembre 2025,"Tunis, Tunisie",1800 - 2300 TND / Mois,Bac + 5,Entre 5 et 10 ans,Plein temps,"Nous recrutons pour le compte de notre client, expert en assistance aux personnes, proposant des services à forte valeur ajoutée à travers ses partenaires et différents réseaux, 
Responsable Ressources Humaines
Mission principale :
Assurer la gestion stratégique et opérationnelle des ressources humaines pour l’ensemble du groupe, en garantissant l’efficacité et le développement du capital humain.
Responsabilités principales :
Gestion administrative et RH :
Superviser la gestion administrative du personnel (contrats, dossiers, obligations légales).
Gérer les effectifs du groupe (120 collaborateurs), profils variés de mécaniciens à cols blancs.
Recrutement et intégration :
Participer au recrutement et à l’intégration des nouveaux collaborateurs.
Assurer la cohérence des pratiques de recrutement dans le groupe.
Formation et développement :
Définir et mettre en place les programmes de formation.
Suivre le développement des compétences et assurer le plan de carrière.
Évaluation et suivi des performances :
Mettre en place des évaluations périodiques et assurer le suivi.
Harmoniser les grilles de postes et les avantages sociaux.
Politique RH et projets transverses :
Participer à l’élaboration et à l’implémentation des politiques RH.
Veiller à l’harmonisation des pratiques RH au sein du groupe.
Profil recherché :
Diplôme en Ressources Humaines, Gestion ou équivalent.
Expérience de 3 à 6 ans en gestion RH.
Maîtrise du droit du travail et des pratiques RH.
Expérience en gestion d’équipes multi-profils et programmes RH.
Excellentes compétences relationnelles, organisationnelles et en communication.
Compétences clés :
Leadership et capacité à manager une équipe diverse.
Sens de l’organisation et rigueur.
Confidentialité et intégrité.
Maîtrise des outils RH et bureautiques.",keejob,2025-11-30 17:45:35
Responsable Méthodes UAP,https://www.keejob.com/offres-emploi/232555/responsable-m%C3%A9thodes-uap/,informatique / télécoms,CDI,30 novembre 2025,"Menzel Jemil, Bizerte, Tunisie",,Bac + 5,Entre 5 et 10 ans,Plein temps,"le Groupe One Tech opérant dans les secteurs de l’industrie du câble, de la mécatronique (fabrication de circuits imprimés, assemblage électronique et mécanique câblage filaire, injection plastique) et les nouvelles technologies de l’information et de la communication, se distinguant par une intervention multi marchés et multi expertises dans le domaine automobile et industriel  et emploie plus de 4500 Collaborateurs Recrute un  Responsable Méthodes UAP : 
Missions
Rattaché directement au Directeur technique, vous aurez comme missions :
- Organiser et gérer de façon autonome les dossiers produits et les modifications sur les produits/process,
- Assurer le management de la communication clients/fournisseurs,
- Analyser les flux et définir des lay-outs et des aménagements des lignes de production,
- Participer et faire partie des chantiers AMDEC,
- Concevoir, mettre en place et améliorer les process de production,
- Valider les nouveaux équipements de production,
- Renseigner les fiches articles, les articles site, les centres - postes de charge, les gammes de production et les nomenclatures,
- Piloter les chantiers d’amélioration (Hoshin, 5S, VSM etc…),
- Piloter les modifications techniques (planning de modification, étude de faisabilité, les essais de prototypage, JPC, PPAP, etc…),
- Gérer la communication client par rapport au sujet technique.
Connaissances Techniques
· Connaissance des démarches Lean,
· Maîtrise techniques et outils gestion de projet,
· Maîtrise des techniques de validation / qualification des procédés/produit ( SPC, qualification des installations, qualification opérationnelle, qualification des performances ...),
· Maîtrise de l'élaboration des dossiers de fabrication et de contrôle,
· Maîtrise de l'AMDEC Process,
· Maîtrise des outils d’analyse et de résolution de problèmes qualité et process ( Ishikawa, Pareto, FTA, QRQC...),
Exigences du poste / Profil
De formation  (Bac+5)  dans les spécialités génie industriel, génie mécanique, mécatronique, électrique ou équivalent.
Vous avez une expérience significative ( min 5 ans ) au sein des services méthodes, études, production.
Vous maîtrisez le processus de production et les technologies associées ainsi que le Lean Manufacturing
Vous disposez des connaissances sur les exigences qualité automobiles.
Rigueur, méthode, implication, proactivité et esprit d'équipe sont vos atouts pour réussir à ce poste.
Vous êtes bilingue Arabe/Français. La maîtrise de l'Anglais est un plus.",keejob,2025-11-30 17:45:41
