title,company,location,contract,work_type,posted_relative,raw_content,detail_link,scraped_at
Agent de sécurité (H/F),Novotel,Tunis,CDI,Temps-plein,Il y a 18 heures,"Description de l'entreprise Rejoignez un hôtel membre du réseau Accor, dont le groupe réunit plus de 45 marques, 5 500 hôtels, 10 000 restaurants et destinations lifestyle. Ici, nous croyons en vous et en ce que vous apportez. Les opportunités de développement et d'évolution sont nombreuses. Chaque geste, chaque sourire, chaque action, contribuent à créer un impact positif et mémorable pour nos clients, nos collègues et aussi pour notre planète. Ensemble, nous incarnons la vision de l’hospitalité responsable. Ayez l’opportunité de devenir un Heartist®, et laissez votre coeur vous guider dans ce monde où la vie bat plus fort. Description du poste Agent de sécurité (H/F) Gardien et protecteur. Vous assurez la sécurité et le bien-être de vos collaborateurs, de vos clients et de vos visiteurs. Vous êtes attentif, efficace et dévoué. Vous faites de votre établissement un lieu sûr et agréable pour tous. Ce que l'établissement vous offre : En quelques mots, mettez en valeur les bénéfices et les avantages à travailler dans votre établissement Carte collaborateurs offrant des taux réduits chez Accor Learning programs through our Academies L’opportunité de développer vos talents et de vous épanouir au sein de votre établissement et à travers le monde La capacité à faire la différence à travers nos activités Ethiques & Responsabilité Sociale des Entreprises, comme Planet 21 Votre rôle : Assurer la sûreté et la sécurité des clients, des collaborateurs, et de l'établissement dans sa globalité Evaluer et reporter toute violation de la loi ou de la politique de l'établissement, ainsi que les accidents, les plaintes, les activités criminelles et les situations de crise Assurer la surveillance des lieux, des comptes de caisse et de l'affluence Informer et assister les clients sur les installations et équipements de l'établissement Qualifications Votre expérience et vos compétences incluent : Une expérience significative similaire est un plus Bonne communication interpersonnelle et capacité à gérer les conflits Responsable et fiable Informations supplémentaires Votre équipe et votre environnement de travail : En quelques mots, présentez l’équipe, l’établissement ou l’environnement de travail qui reflète la culture de l'équipe Note : Vous pouvez inclure ici les spécificités locales ou les critères légaux, tels que le permis de travail. Notre Engagement Diversité & Inclusion : Nous sommes une entreprise inclusive et notre ambition est d’attirer, de recruter, et de promouvoir la diversité des talents. Novotel",https://www.optioncarriere.tn/jobad/tn9c6bb91e736b739c9d5d65a26a5e129c,2025-11-29 19:36:19
Technicien support N1 H/F (Helpdesk),Septeo,Tunis,CDI,Temps-plein,Il y a 18 heures,"Description de l'entreprise Septeo, éditeur de logiciels de référence en Europe, est un groupe qui grandit vite. Qui se transforme. En 10 ans, nous sommes devenus un des leaders européens de la tech, une référence dans l’édition de logiciels. Cette évolution, c’est le fruit d’un collectif. Le résultat d’un travail d’équipes déterminées, audacieuses et engagées. Des équipes qui travaillent main dans la main, dans la simplicité, la convivialité & la confiance. Animés par des valeurs communes, chez Septeo, on est ensemble, on fait ensemble et on transforme ensemble. Et les résultats sont là : aujourd’hui, nous sommes le 8 ème plus grand éditeur de logiciels en France au classement EY&Numeum. Notre ambition ne s’arrête pas là. Nous souhaitons devenir incontournable en Europe. Que Septeo soit sur toutes les lèvres. Nous sommes déjà présents, derrière chaque moment de vie, grâce aux logiciels que nous développons, mis à la disposition de millions de femmes et d’hommes : un achat immobilier, un mariage, une création d’entreprise, un voyage... C’est une sacrée responsabilité finalement. C’est la nôtre. Et peut-être bientôt la vôtre. Prêt(e) à faire partie de l’aventure ? Description du poste Nous recherchons un Technicien support N1 H/F, en CDI, pour notre filiale Septeo Notaires. Ce que nous pouvons accomplir ensemble : En tant que premier point de contact pour nos clients, vous jouerez un rôle crucial en fournissant un support technique exceptionnel et en assurant la satisfaction des clients. Votre quotidien : Répondre aux demandes des clients et fournir une assistance technique par téléphone, e-mail et chat. Diagnostiquer et résoudre efficacement les problèmes liés au matériel, aux logiciels et au réseau. Gérer et suivre les demandes des clients à l'aide de notre système de ticketing Si nécessaire, transmettez les problèmes complexes aux équipes d'assistance de niveau supérieur. Tenir des registres détaillés et précis de toutes les interactions avec les clients et de toutes les résolutions. Collaborer avec les membres de l'équipe pour partager les connaissances et améliorer les processus d'assistance. Se tenir au courant des dernières technologies et procédures d'assistance Participer aux réunions d'équipe et aux sessions de formation afin d'améliorer les compétences et les connaissances. Gérer la file d'attente de l'assistance afin de garantir une résolution rapide de tous les tickets. Fournir des instructions claires et concises pour guider les utilisateurs dans les processus techniques. Contribuer au développement et à la maintenance de la base de connaissances. Qualifications Et si on parlait de vous ? Vous avez au moins un an d'expérience en tant que technicien de support de niveau 1 ou dans un rôle similaire de helpdesk. Maîtrise d'Office 365 et d'Azure Active Directory Solides compétences en matière de résolution de problèmes et capacité à faire preuve d'esprit critique sous pression Excellentes compétences en matière de service à la clientèle, avec une approche patiente et empathique. Compétences en communication claire et concise, tant à l'écrit qu'à l'oral. Expérience des systèmes de billetterie et des outils d'assistance Compréhension de base des concepts de mise en réseau Capacité à effectuer plusieurs tâches à la fois et à établir des priorités dans un environnement en évolution rapide. Capacité d'adaptation pour apprendre rapidement les nouvelles technologies et les nouveaux processus. Maîtrise du français et de l'anglais Connaissance des meilleures pratiques en matière de sécurité informatique Familiarité avec les outils d'assistance à distance Diplôme d'études secondaires ou équivalent ; des certifications techniques sont un atout. Informations supplémentaires Ce que l’on peut vous offrir : Évoluer dans un environnement où l’on vous fait confiance et dans lequel vous avez la possibilité de prendre des initiatives ! Recevoir un accompagnement personnalisé tout le long de votre carrière. Progresser et se former continuellement grâce à : nos experts métiers, nos formations en interne, la plateforme Udemy et des conférences (Agile Tour, Sunny Tech). Quelles sont les prochaines étapes ? Un échange téléphonique avec un(e) chargé(e) de recrutement, Un rendez-vous RH/Manager en visio/physique pour mieux apprendre à vous connaître, On vous attend chez Septeo ! Septeo",https://www.optioncarriere.tn/jobad/tn29d987fdffd46a579ec1141f9340b921,2025-11-29 19:36:25
Développeur Senior Angular,Devoteam,Tunis,CDI,Temps-plein,Il y a 19 heures,"Description de l'entreprise Chez Devoteam, nous sommes des « Digital Transformakers ». Le respect, la franchise et la passion animent chaque jour notre tribu. Ensemble, nous aidons nos clients à remporter la bataille du Digital : du conseil à la mise en œuvre de technologies innovantes, jusqu’à l’adoption des usages. Cloud, Cybersecurity, Data, DevOps, Fullstack Dev, Low Code, RPA n’ont plus aucun secret pour notre tribu ! Nos 10 000+ collaborateurs sont certifiés, formés et accompagnés au quotidien pour relever de nouveaux challenges innovants. Leader du Cloud, de la Cybersécurité et de la Data en EMEA, le Groupe Devoteam a réalisé en 2023 un chiffre d’affaires de 1,3 milliard d’euros et se donne pour ambition de le doubler dans les 5 années à venir. Devoteam Tunisie, filiale de Devoteam Group, est génératrice de valeur depuis plus de 14 années. Travaillant à la fois à l'échelle africaine et internationale, notre équipe compte plus de 130 consultant(e)s pluridisciplinaires doté(e)s de compétences variées (consultants en transformation digitale, développeurs, chefs de projets, experts en data et cybersécurité) travaillant sur des projets enrichissants et innovants. Description du poste En rejoignant nos équipes, vous serez responsable de la conception, du développement, des tests et de la mise en production des nouvelles fonctionnalités et des améliorations apportées aux applications existantes. Vous travaillerez en étroite collaboration avec les autres membres de l'équipe pour assurer la qualité du code et le bon fonctionnement des applications. Qualifications Maîtriser le développement d'applications web front-end avec Angular, y compris la création de composants, les directives, les services, les modules et les tests unitaires. Avoir une solide expérience de développement backend en Java, incluant la création de services RESTful, la gestion de bases de données et les tests d'intégration. Être familier avec les concepts d'architecture logicielle, les design patterns et les bonnes pratiques de développement. Posséder une bonne compréhension des processus de développement Agile (Scrum, Sprint Planning, Backlog) et être capable de travailler en équipe. Maîtriser les outils de développement et de gestion de code tels que Git et Jira. Diplômé(e) d’un Bac+5 en école d'ingénieur ou équivalent universitaire avec une spécialisation en informatique, ou justifiant d'une expérience significative équivalente. Expérience de plus de 5 ans en Angular. Informations supplémentaires Envie de valoriser votre expertise, de développer vos compétences dans un environnement en perpétuelle évolution et de booster votre carrière ? Rejoignez la tribu ! Devoteam",https://www.optioncarriere.tn/jobad/tn39b710f6717f7728a129e97fcb1490a7,2025-11-29 19:36:30
Stage - Commercial Sédentaire H/F,Bassetti,Tunis,Stage,Temps-plein,Il y a 19 heures,"Les missions du poste En tant que stagiaire commercial(e) sédentaire, vous accompagnerez notre équipe Sales dans le développement de l'activité commerciale sur le marché francophone. Vos missions incluent : Prospection téléphonique et qualification de leads (B2B) Participation à la création et au suivi de campagnes emailing Prise de rendez-vous pour les commerciaux terrain Mise à jour et gestion du CRM (HubSpot, Salesforce ou autre) Rédaction d'offres commerciales et relances clients Veille concurrentielle et suivi des tendances marché Participation à des présentations/démos en ligne Le profil recherché Profil recherché : Étudiant(e) en commerce, marketing, gestion ou équivalent (Bac+3 à Bac+5) Parfaite maîtrise du français à l'oral et à l'écrit (la maîtrise de l'anglais est un plus) Goût pour la vente et les relations commerciales B2B Maîtrise des outils bureautiques (Excel, Word, PowerPoint) Esprit d'équipe, rigueur et capacité d'adaptation Bienvenue chez Bassetti La société BASSETTI FRANCE, filiale du Groupe BASSETTI est Editeur et Intégrateur de logiciels de gestion de données techniques et scientifiques. Ses clients sont de grandes entreprises internationales dans les domaines de l'aéronautique, l'énergie, la pharmacie, l'automobile, les transformateurs de matières et fabricants de produits manufacturés, telles qu'AIRBUS, AREVA, EDF, PIERRE FABRE, RENAULT, SAFRAN, SCHNEIDER ELECTRIC, THALES… Avec plus de 250 Ingénieurs, le groupe Bassetti se répartit dans les agences de Grenoble, Annecy, Lyon, Bordeaux, Nantes, Paris et Toulouse et marque sa présence à l'international au travers de ses filiales : Chine, Canada, Etats-Unis, Inde, Allemagne. Pour soutenir sa croissance, BASSETTI a besoin de nouveaux Talents ! Infos complémentaires Ce que nous offrons : Une immersion concrète dans le processus de vente d'une entreprise tech innovante Encadrement par des professionnels expérimentés Formation aux outils CRM et aux techniques de prospection Possibilité d'évolution vers un emploi Stage - Commercial Sédentaire H/F Tunis Stage Bassetti",https://www.optioncarriere.tn/jobad/tn63fd5e7c1d34a6d163db45ae11c10190,2025-11-29 19:36:35
Vendeur / Vendeuse comptoir de matériels et équipements,STE GLE DE CCE BUREAUTIQUES,Sfax,CDI,Temps-plein,Il y a 10 heures,"Référence : 6110/2025/4595 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : STE GLE DE CCE BUREAUTIQUES Adresse : RTE GREMDA KM2IMM BOUDAYA Région : SFAX Code postal : 3003 Téléphone : 74312625 Activité de l'entreprise : COMMERCE DE GROS D'ORDINATEURS, D'EQUIPEMENTS INFORMATIQUES PERIPHERIQUES ET DE LOGICIELS Domaine : Commerce, Vente, Publicité, Marketing Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : RTE GREMDA KM 2 Nombre de postes proposés : 1 Bureau de l'emploi : SFAX NORD Région : SFAX Tel : 74221333 Fax : 74298950 Adresse : RUE CHEIKH MEGDICH SFAX 3000 E-mail : STE GLE DE CCE BUREAUTIQUES",https://www.optioncarriere.tn/jobad/tnd556382abcfd1cf67ef4df3c7d5cfec8,2025-11-29 19:36:40
Electricien / Electricienne du bâtiment,SOSEREL,Tunis,CDI,Temps-plein,Il y a 10 heures,"Référence : 1160/2025/951 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : SOSEREL Adresse : 20 AVENUE 20 MARS BAB SAADOUN Région : TUNIS Code postal : 1005 Téléphone : 71260566 Activité de l'entreprise : INSTALLATION ELECTRIQUE Domaine : Architecture, Génie civil, Bâtiment, Hydraulique Niveau : BAC ET PLUS SANS DIPLOME Profession à exercer : Lieu de travail : 20 AVENUE 20 MARS BAB SAADOUN Nombre de postes proposés : 1 Bureau de l'emploi : BARDO Région : TUNIS Tel : 71517038 Fax : 71517042 Adresse : 93 Avenue 20 mars Bardo 2000 E-mail : SOSEREL",https://www.optioncarriere.tn/jobad/tn8cc6cc6cec47a2140cc78b5f45b9fa28,2025-11-29 19:36:44
Chauffeur / Chauffeuse de poids lourd,SARL STE TEC DE BAT. ET TRAVX. PUB.GT LA,Kasserine,CDI,Temps-plein,Il y a 10 heures,"Référence : 4210/2025/1099 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : SARL STE TEC DE BAT. ET TRAVX. PUB.GT LA Adresse : CITE EL IZDIHAR Région : KASSERINE Code postal : 1240 Téléphone : 98746056 E-mail : LASSAAD_BENSAID@YAHOO.FR Activité de l'entreprise : CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS Domaine : Transport, Logistique, Manutention Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : SUR CHANTIER Nombre de postes proposés : 1 Bureau de l'emploi : KASSERINE Région : KASSERINE Tel : 77474342 Fax : 77473797 Adresse : AV. HABIB BOURGUIBA KASSERINE 1200 E-mail : SARL STE TEC DE BAT. ET TRAVX. PUB.GT LA",https://www.optioncarriere.tn/jobad/tn32dbff7e78d71a9d4c9ea907a93c8371,2025-11-29 19:36:49
Chauffeur routier / Chauffeuse routière,SOCIETE BIG DJINS 0 CONFECTION,"Jemmal, Monastir",CDI,Temps-plein,Il y a 10 heures,"Référence : 5230/2025/1478 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : SOCIETE BIG DJINS 0 CONFECTION Adresse : CITE EL MANAR JEMMAL Région : MONASTIR Code postal : 5020 Téléphone : 73582600 E-mail : BIGDJINS@OUTLOOK.FR Activité de l'entreprise : FABRICATION D'AUTRES TEXTILES TECHNIQUES ET INDUSTRIELS Domaine : Transport, Logistique, Manutention Niveau : SECONDAIRE, B.T.P Profession à exercer : Lieu de travail : CITE EL MANAR JEMMAL Expérience souhaitée : 2 an(s) Nombre de postes proposés : 1 Bureau de l'emploi : JEMMAL Région : MONASTIR Tel : 73487421 Fax : 73487421 Adresse : PLACE DE STATION DE TRANSPORT TERRESTRE JAMMEL 5020 E-mail : SOCIETE BIG DJINS 0 CONFECTION",https://www.optioncarriere.tn/jobad/tn6b71f0ea0f84fb3a5875feb925969603,2025-11-29 19:36:53
Designer / Designeuse produit,SOCIETE TOP CUISINE,Tunis,CDI,Temps-plein,Il y a 10 heures,"Référence : 4110/2025/1018 (Offre d'emploi) Date de publication : 27/11/2025 Entreprise : SOCIETE TOP CUISINE Adresse : ZONE IND RT DE TUNIS Région : KAIROUAN Code postal : 3100 Téléphone : 23245546 E-mail : top.cuisine@yahoo.com Activité de l'entreprise : COMMERCE DE DETAIL D'APPAREILS ELECTROMENAGERS EN MAGASIN SPECIALISE Domaine : Energétique, Génie industriel Niveau : BAC ET PLUS SANS DIPLOME Poste proposé : *designer/ contact client/commercial. Profession à exercer : Lieu de travail : ZONE IND RT DE TUNIS Nombre de postes proposés : 1 Bureau de l'emploi : KAIROUAN Région : KAIROUAN Tel : 77230160 Fax : 77227131 Adresse : AVENUE BEIT EL HEKMA ALMANSOURA KAIROUAN 3100 E-mail : SOCIETE TOP CUISINE",https://www.optioncarriere.tn/jobad/tnb3486f9245dd0c5efc735887fc02ff7e,2025-11-29 19:36:58
Ingénieur / Ingénieure génie civil,Méditerranée De Bâtiment,"Hammamet, Nabeul",CDI,Temps-plein,Il y a 11 heures,"Référence : 2140/2025/2000 (Offre de stage) Date de publication : 27/11/2025 Entreprise : MEDITERRANEE DE BATIMENT Adresse : AV ETTAHRIR HAMMAMET Région : NABEUL Code postal : 8050 Téléphone : 29605788 E-mail : STEMEDBATIMENTS487@GMAIL.COM Activité de l'entreprise : CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS Domaine : Architecture, Génie civil, Bâtiment, Hydraulique Niveau : BAC ET PLUS SANS DIPLOME Poste proposé : technicien/ingenieur genie civil Profession à exercer : Lieu de travail : HAMMAMET Nombre de postes proposés : 1 Bureau de l'emploi : HAMMAMET Région : NABEUL Tel : 72283364 Fax : 72279494 Adresse : 53 AV EL AKABA EL HECHIMIA-HAMMAMET 8050 E-mail : Méditerranée De Bâtiment",https://www.optioncarriere.tn/jobad/tn30770e316e83c053bc9af9dea1f2faa3,2025-11-29 19:37:03
